12,KW,Gesamt-Durchschnitt je KW,"4a-Durchschnitt 
(PlusMinus 1KW)",dummy,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984
,30,"13,5","12,9",,,,10,12,14,12,10,12,16,12,12,14,14,10,12,12,12,12,12,16,16,12,16,16,18,16,18,14,,,,,,,,,,,,,,,
,31,"13,6","13,1",,,12,12,14,14,14,10,12,12,16,14,12,12,12,12,14,12,12,10,16,16,16,16,14,16,16,16,16,,,,,,,,,,,,,,,
,32,"14,1","13,4",,,12,14,12,16,14,12,16,16,16,12,12,14,14,12,12,14,14,12,14,16,14,12,16,18,16,16,14,,,,,,,,,,,,,,,
,33,"14,1","13,6",,,12,12,12,14,12,12,14,16,16,14,14,12,14,12,14,12,14,10,12,16,14,20,14,18,18,18,16,,,,,,,,,,,,,,,
,34,"14,3","13,8",,,12,14,12,12,14,12,16,14,14,16,12,12,16,14,14,14,16,14,14,16,16,14,16,14,16,16,16,,,,,,,,,,,,,,,
,35,"15,8",15,,,14,14,16,12,16,12,14,14,16,16,14,14,14,12,14,16,18,16,16,22,18,16,18,14,20,20,20,,,,,,,,,,,,,,,
,36,18,"15,9",,,14,16,16,18,16,16,18,16,20,20,18,14,20,20,18,18,16,18,18,18,18,18,20,20,20,22,20,,,,,,,,,,,,,,,
,37,"16,3","16,3",,,16,14,14,14,14,16,18,16,18,18,22,18,12,14,12,16,20,16,16,16,16,20,16,14,16,20,18,,,,,,,,,,,,,,,
,38,"15,9","15,5",,,16,14,12,14,14,16,18,16,16,16,18,14,16,16,14,16,14,14,16,16,18,16,20,16,14,20,18,,,,,,,,,,,,,,,
,39,"15,7","15,2",,,10,14,16,14,14,18,14,16,16,12,16,18,16,14,16,14,14,14,18,20,16,18,18,16,14,20,18,,,,,,,,,,,,,,,
,40,"16,7","15,1",,,14,16,16,16,20,16,14,14,14,16,14,18,18,14,14,18,20,18,18,16,14,24,18,18,18,20,16,,,,,,,,,,,,,,,
,41,"15,9",15,,,14,14,16,14,12,16,14,14,16,14,24,14,14,16,14,16,16,16,18,16,16,18,18,14,16,22,18,,,,,,,,,,,,,,,
,42,15,"14,7",,,12,14,12,14,14,16,14,16,14,14,16,16,16,16,12,12,16,14,16,16,16,16,16,12,16,18,20,,,,,,,,,,,,,,,
,43,"15,9","14,4",,,14,14,12,14,10,16,16,16,16,18,16,16,16,10,14,16,16,12,16,18,16,20,16,20,18,20,22,,,,,,,,,,,,,,,
,44,"15,9","14,6",,,14,12,14,14,16,14,14,14,16,16,14,16,14,14,16,14,12,14,18,18,18,20,20,20,20,18,20,,,,,,,,,,,,,,,
,45,"15,9","14,8",,,14,12,14,14,16,16,12,14,16,16,18,16,14,14,16,16,16,14,16,20,16,20,18,14,18,20,18,,,,,,,,,,,,,,,
,46,"15,7","14,8",,,12,14,14,16,16,14,18,16,16,16,16,14,14,14,16,12,16,12,14,16,20,18,20,16,16,20,18,,,,,,,,,,,,,,,
,47,17,15,,,16,12,12,14,12,14,16,16,16,14,16,18,14,16,18,18,20,18,18,18,20,20,18,18,18,20,28,,,,,,,,,,,,,,,
,48,"18,6","15,5",,,12,16,16,16,14,14,16,16,16,16,18,20,16,16,18,12,18,20,22,20,20,30,24,26,24,26,20,,,,,,,,,,,,,,,
,49,"17,6","16,7",,,16,14,14,16,16,20,16,18,16,18,18,18,16,16,18,16,16,18,16,20,14,26,18,18,22,22,20,,,,,,,,,,,,,,,
,50,"18,8","20,7",,,16,18,18,16,16,16,18,20,20,20,20,18,16,28,16,16,16,16,16,20,20,18,22,20,24,22,22,,,,,,,,,,,,,,,
,51,"27,9","20,6",,,26,26,26,28,26,24,30,32,28,26,32,32,28,8,26,24,18,18,28,32,28,20,38,34,40,40,36,,,,,,,,,,,,,,,
,52,13,"21,7",,,10,,,,8,18,12,,,10,18,12,10,,8,10,24,20,8,12,8,26,12,12,12,12,12,,,,,,,,,,,,,,,
,53,10,,,,,,,,,10,,,,,,,,,,,8,,,,,12,,,,,,,,,,,,,,,,,,,,
,Summe,18972,"744,5",,278,690,684,716,738,720,716,710,822,786,826,798,760,740,724,720,730,770,788,852,862,838,946,886,872,930,980,912,,,,,,,,,,,,,,,
,Anz. Ausgaben,1415,51,,22,51,51,51,51,52,52,52,51,51,52,51,51,52,51,52,52,52,52,52,52,52,52,51,51,52,52,52,,,,,,,,,,,,,,,
,Durchschnitt tatsächlich,"13,4","14,6",,"12,6","13,5","13,4",14,"14,5","13,8","13,8","13,7","16,1","15,4","15,9","15,6","14,9","14,2","14,2","13,8",14,"14,8","15,2","16,4","16,6","16,1","18,2","17,4","17,1","17,9","18,8","17,5",,,,,,,,,,,,,,,
,Max/Min,-,-,,16/10,26/10,26/10,26/12,28/10,26/8,24/8,30/12,32/12,28/10,26/10,32/10,32/12,28/8,28/8,26/8,24/10,24/8,22/10,28/8,32/12,28/8,30/12,38/12,34/12,40/12,40/12,36/12,,,,,,,,,,,,,,,
